,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
24,2019-06-22,NEWS,Top Gun,NEWS,Top Gun NEWS,4YhJ3a6kBPGJWX4Ek77sDd,0.20600000000000002,0.823,169907.0,0.504,0.0,8.0,0.41700000000000004,-8.65,0.0,0.16,112.985,4.0,0.48100000000000004
25,2019-06-29,Tomohisa Yamashita,Change,Tomohisa Yamashita,Change Tomohisa Yamashita,7AFASza1mXqntmGtbxXprO,0.883,0.669,121887.0,0.308,0.0,11.0,0.0984,-10.068,1.0,0.028999999999999998,64.934,4.0,0.52
26,2019-07-06,IZ*ONE,Buenos Aires,IZ*ONE,Buenos Aires IZ*ONE,59OVM3kQEOwKpTXgrQox1N,0.381,0.6970000000000001,261787.0,0.833,0.0,0.0,0.349,-3.03,0.0,0.0314,104.99799999999999,4.0,0.9359999999999999
27,2019-07-13,BTS,Lights,BTS,Lights BTS,3TDUktzfYXMWjkWqwoT5F1,0.156,0.608,292853.0,0.644,0.0,5.0,0.124,-5.587999999999999,1.0,0.0314,99.005,4.0,0.431
28,2019-07-20,Kis-My-Ft2,Hands Up,Kis-My-Ft2,Hands Up Kis-My-Ft2,2lrvQCsMALjGeuyUkuzIxA,0.000491,0.644,199267.0,0.623,5.07e-05,2.0,0.359,-4.933,1.0,0.0336,133.887,4.0,0.11
29,2019-07-27,Hinatazaka 46,Dolemisolasido,Hinatazaka 46,Dolemisolasido Hinatazaka 46,1j1V3ZWAmMrWKWPWF3VpbB,0.6859999999999999,0.7020000000000001,305853.0,0.972,0.0,5.0,0.368,-1.8119999999999998,0.0,0.094,133.034,4.0,0.7390000000000001
30,2019-08-03,TWICE,Breakthrough,TWICE,Breakthrough TWICE,5COO2JgOmHIJ2jsXFwflz8,0.0439,0.868,217651.0,0.728,0.0,6.0,0.0975,-3.338,0.0,0.11,112.006,4.0,0.616
31,2019-08-10,STU48,Daisuki Na Hito,STU48,Daisuki Na Hito STU48,4buFbQFZLomYxtqipavZUT,0.742,0.59,315640.0,0.435,3.02e-05,5.0,0.129,-7.081,1.0,0.0265,141.928,4.0,0.26
32,2019-08-17,SANDAIME J SOUL BROTHERS from EXILE TRIBE Feat. Afrojack,Scarlet,SANDAIME J,Scarlet SANDAIME J,3vSXV46H3bSmJHX79NV9Zu,0.0431,0.48200000000000004,224293.0,0.948,0.369,9.0,0.252,-3.389,1.0,0.179,172.674,4.0,0.644
33,2019-08-24,NMB48,Bokou He Kaere!,NMB48,Bokou He Kaere! NMB48,6zSaXsg2De1DyFaSwPOXHC,0.175,0.348,284000.0,0.966,0.0,0.0,0.355,-1.628,1.0,0.0584,170.936,4.0,0.476
34,2019-08-31,Hey! Say! JUMP,Fanfare!,Hey! Say!,Fanfare! Hey! Say!,2WQzsRjsNuQz8KGEXNcJCU,0.0124,0.585,264000.0,0.62,0.0164,6.0,0.135,-9.075,1.0,0.0538,80.021,4.0,0.725
35,2019-09-07,King & Prince,koi-wazurai,King &,koi-wazurai King &,5v2xgL8y4XI0hi50cU574j,0.297,0.675,232333.0,0.499,0.0,10.0,0.337,-5.825,1.0,0.0258,93.917,4.0,0.775
36,2019-09-14,Nogizaka 46,Yoake Made Tsuyogaranakutemo ii,Nogizaka 46,Yoake Made Tsuyogaranakutemo ii Nogizaka 46,0WU3YULzh5YTXzONIaqzxO,0.18600000000000003,0.41600000000000004,260560.0,0.855,0.0,11.0,0.257,-2.476,1.0,0.0456,133.885,4.0,0.628
37,2019-09-21,Kenshi Yonezu,Uma To Shika,Kenshi Yonezu,Uma To Shika Kenshi Yonezu,3Q2xDJ1co8t2UqFw9Rm1Yk,0.149,0.655,265933.0,0.46399999999999997,0.0,3.0,0.23600000000000002,-6.372000000000001,1.0,0.0252,91.023,4.0,0.667
38,2019-09-28,AKB48,Sustainable,AKB48,Sustainable AKB48,4TTajosMlVTWyLEePQWrUb,0.743,0.10800000000000001,278061.0,0.000229,0.841,5.0,0.449,-28.179000000000002,0.0,0.0681,79.32600000000001,1.0,1e-05
39,2019-10-05,IZ*ONE,Vampire,IZ*ONE,Vampire IZ*ONE,5ixWzfH7Z3o5TM10WJPYCK,0.223,0.593,228133.0,0.875,0.0,1.0,0.32899999999999996,-2.862,0.0,0.0504,143.968,4.0,0.879
40,2019-10-12,Hinatazaka 46,Konna Ni Sukini Natchatte Iino?,Hinatazaka 46,Konna Ni Sukini Natchatte Iino? Hinatazaka 46,1pwM6pt4XiEw8R9sYPf3De,0.511,0.5379999999999999,319520.0,0.899,0.0,2.0,0.0706,-2.657,0.0,0.0424,101.95200000000001,4.0,0.43
41,2019-10-19,Johnny's WEST,Big Shot!!,Johnny's WEST,Big Shot!! Johnny's WEST,5cXg9IQS34FzLVdHhp7hu7,0.00759,0.855,221827.0,0.478,0.0,1.0,0.10099999999999999,-9.116,1.0,0.193,130.018,4.0,0.284
42,2019-10-26,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
43,2019-11-02,Sexy Zone,Kirin No Ko,Sexy Zone,Kirin No Ko Sexy Zone,0E1kOByA4NLg64a8wVBrWF,0.337,0.546,313234.0,0.609,0.0,4.0,0.0998,-7.01,0.0,0.0362,107.92299999999999,4.0,0.418
44,2019-11-09,=LOVE,Zurui Yo Zurui Ne,=LOVE,Zurui Yo Zurui Ne =LOVE,037yXObInoa1f4owQXqDOs,0.568,0.588,283240.0,0.787,1.18e-06,8.0,0.0559,-3.892,1.0,0.0335,129.97,4.0,0.462
45,2019-11-16,NMB48,Hatsukoi Shijou Shugi,NMB48,Hatsukoi Shijou Shugi NMB48,6S1UiPCAiluPnqe8FPlHMp,0.37200000000000005,0.486,243000.0,0.746,0.0,4.0,0.207,-5.867999999999999,1.0,0.0377,79.975,5.0,0.7040000000000001
46,2019-11-23,Kis-My-Ft2,Edge Of Days,Kis-My-Ft2,Edge Of Days Kis-My-Ft2,2sy6jHoBZxKdkbAfAebN8N,2.1600000000000003e-05,0.442,216441.0,0.9229999999999999,0.6629999999999999,6.0,0.221,-4.175,1.0,0.0761,102.01,4.0,0.0509
47,2019-11-30,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
48,2019-12-07,Kanjani 8,Tomo Yo,Kanjani 8,Tomo Yo Kanjani 8,1qjl8UJtWTHrk4SFpwftSN,0.56,0.441,220173.0,0.644,0.0,11.0,0.109,-5.774,1.0,0.0363,141.733,4.0,0.349
49,2019-12-14,KinKi Kids,Hikari No Kehai,KinKi Kids,Hikari No Kehai KinKi Kids,63zhbZpRNZcnnd5MLqH6f2,0.986,0.494,260320.0,0.29,0.935,1.0,0.08800000000000001,-13.003,1.0,0.045,129.911,4.0,0.195
50,2019-12-21,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
51,2019-12-28,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
52,2020-01-04,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
53,2020-01-11,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
54,2020-01-18,Official HIGE DANdism,Pretender,Official HIGE,Pretender Official HIGE,15HNdxGKNCIO9pgaY4n7FU,0.047,0.5379999999999999,326843.0,0.8690000000000001,0.0,8.0,0.14,-3.464,1.0,0.0275,91.97200000000001,4.0,0.369
55,2020-01-25,SKE48,Soyutoko Aru Yone?,SKE48,Soyutoko Aru Yone? SKE48,0oOQ5U0gsQKujmgrI8ajWZ,0.505,0.557,234400.0,0.901,0.0,0.0,0.139,-1.925,0.0,0.0438,80.036,4.0,0.962
56,2020-02-01,SixTONES,Imitation Rain,SixTONES,Imitation Rain SixTONES,3ql1Z5dcAdu3BPsw8FqYvN,0.544,0.574,57168.0,0.501,0.9540000000000001,8.0,0.28,-14.187999999999999,1.0,0.0614,79.51899999999999,4.0,0.41200000000000003
57,2020-02-08,STU48,Mubou Na Yume Ha Sameru Koto Ga Nai,STU48,Mubou Na Yume Ha Sameru Koto Ga Nai STU48,3p6KYaq2psQ52O5zk83YQO,0.0832,0.524,299062.0,0.702,0.228,4.0,0.571,-8.745,0.0,0.0277,126.015,4.0,0.566
58,2020-02-15,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
59,2020-02-22,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
60,2020-02-29,Hinatazaka 46,Sonnakoto Naiyo,Hinatazaka 46,Sonnakoto Naiyo Hinatazaka 46,2MlTQUQhEPpQgL4AIQraWb,0.268,0.40299999999999997,285987.0,0.9309999999999999,0.0,2.0,0.382,-1.8430000000000002,1.0,0.0679,164.885,4.0,0.633
61,2020-03-07,Hey! Say! JUMP,I am,Hey! Say!,I am Hey! Say!,4teHfI6V8QbWlWFhlKtpoG,0.0898,0.634,343973.0,0.9440000000000001,0.0,1.0,0.951,-6.608,1.0,0.0783,112.71600000000001,4.0,0.461
62,2020-03-14,JO1,Infinity,JO1,Infinity JO1,2cmXJOVYxxjOTfvVbc6FGb,0.00303,0.555,178095.0,0.8,0.0,11.0,0.18600000000000003,-4.665,0.0,0.0554,126.042,4.0,0.299
63,2020-03-21,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
64,2020-03-28,AKB48,Shitsuren.Arigatou,AKB48,Shitsuren.Arigatou AKB48,6c03V3RRDWs9mkKtHbGZXQ,0.406,0.467,39000.0,0.826,4.62e-06,11.0,0.35,-4.685,1.0,0.0426,76.149,4.0,0.6729999999999999
65,2020-04-04,Nogizaka 46,Shiawase No Hogoshoku,Nogizaka 46,Shiawase No Hogoshoku Nogizaka 46,,,,,,,,,,,,,,
66,2020-04-11,SEVENTEEN,Fallin' Flower,SEVENTEEN,Fallin' Flower SEVENTEEN,6MC0anRfGPzSWrvybgsY7O,0.348,0.6409999999999999,212333.0,0.85,0.0,9.0,0.22699999999999998,-4.76,0.0,0.22899999999999998,141.877,4.0,0.674
67,2020-04-18,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
68,2020-04-25,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
69,2020-05-02,HKT48,3-2,HKT48,3-2 HKT48,4pYqygRHAC35hBkZ12kdTQ,0.195,0.532,214467.0,0.867,0.0,7.0,0.261,-2.0269999999999997,1.0,0.0401,134.942,4.0,0.728
