,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
62,2020-03-14,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
63,2020-03-21,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
64,2020-03-28,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
65,2020-04-04,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
66,2020-04-11,Vanesa Martin,Un Canto A La Vida,Vanesa Martin,Un Canto A La Vida Vanesa Martin,0KtBbO1aL5QEbPT6NpIgZ7,0.227,0.47,201139.0,0.689,0.0,0.0,0.138,-3.484,0.0,0.0296,155.904,4.0,0.291
67,2020-04-18,Aitana,Telefono,Aitana,Telefono Aitana,4GHBUyrcoDwLXlkXfkc8sW,0.0844,0.667,162093.0,0.86,8.64e-05,11.0,0.102,-4.072,0.0,0.109,172.168,4.0,0.579
68,2020-04-25,Aitana,Telefono,Aitana,Telefono Aitana,4GHBUyrcoDwLXlkXfkc8sW,0.0844,0.667,162093.0,0.86,8.64e-05,11.0,0.102,-4.072,0.0,0.109,172.168,4.0,0.579
69,2020-05-02,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
70,2020-05-09,RESISTIRE MEXICO,Resistire,RESISTIRE MEXICO,Resistire RESISTIRE MEXICO,0XFQb7pNfT90A7fRxjMWgz,0.0071,0.45,252443.0,0.878,0.0,9.0,0.0908,-4.592,1.0,0.0827,199.844,4.0,0.744
71,2020-05-16,Becky G + Natti Natasha,Sin Pijama,Becky G,Sin Pijama Becky G,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560.0,0.745,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82
72,2020-05-23,"Vetusta Morla  Alice Wonder, Andres Suarez, Carlotta Cosials, Christina Rosenvince, Dani Martin, Depedro, Eva Amaral, Ismel Serriano, Ivan Ferreiro, Kase O, Leiva, Luz Casal, Maika Makovski, Marwan, Nacho Vegas, Nina de Juan, Rozalen ,Sabina, Santi Blames & Xoel Lopez",Los Abrazos Prohibidos,Vetusta Morla,Los Abrazos Prohibidos Vetusta Morla,3qKzESguQJ7GpqWf6K2hOE,0.0552,0.491,222072.0,0.562,7.51e-05,6.0,0.249,-6.636,0.0,0.0611,153.876,4.0,0.261
73,2020-05-30,Aitana & Reik,Enemigos,Aitana &,Enemigos Aitana &,5XUtUnUsJ1PAkLZIiCfUD5,0.0502,0.713,197394.0,0.79,0.0,1.0,0.172,-3.609,0.0,0.146,89.997,4.0,0.702
74,2020-06-06,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
75,2020-06-13,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
76,2020-06-20,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
77,2020-06-27,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
78,2020-07-04,Agoney,MAS,Agoney,MAS Agoney,10NIE9uirB9gTmnVwSAMje,0.122,0.51,211724.0,0.503,0.0,1.0,0.17,-8.325,1.0,0.0352,86.909,4.0,0.248
79,2020-07-11,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
80,2020-07-18,Pablo Alboran,Prometo,Pablo Alboran,Prometo Pablo Alboran,4Wc0FFBjYDVNJ3Zx3fck6s,0.454,0.4,307107.0,0.564,0.0,9.0,0.314,-8.971,1.0,0.12,91.356,4.0,0.327
81,2020-07-25,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
82,2020-08-01,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
83,2020-08-08,Cepeda,Si Tu Existieras,Cepeda,Si Tu Existieras Cepeda,2MIuZxR2C5DvQhNWdcc3ob,0.262,0.291,237403.0,0.549,0.0,9.0,0.102,-6.636,1.0,0.0338,71.258,4.0,0.182
84,2020-08-15,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
85,2020-08-22,Gene Kelly & MGM Studio Orchestra,Singing In The Rain (Cantando Bajo La Lluvia),Gene Kelly,Singing In The Rain (Cantando Bajo La Lluvia) Gene Kelly,406wKTPKAWllMLOS3YHA57,0.00396,0.375,178173.0,0.627,0.943,5.0,0.255,-3.196,1.0,0.0362,133.975,4.0,0.497
86,2020-08-29,The Harmony Group,Laxed,The Harmony,Laxed The Harmony,3BJiF37kmX4HCfYSO7qBnQ,0.0577,0.736,201990.0,0.62,0.692,0.0,0.318,-8.481,0.0,0.11,150.026,4.0,0.959
